2105,3,399900
1600,3,329900
2400,3,369000
1416,2,232000
3000,4,539900
1985,4,299900
1534,3,314900
1427,3,198999
1380,3,212000
1494,3,242500
1940,4,239999
2000,3,347000
1890,3,329999
4478,5,699900
1268,3,259900
2300,4,449900
1320,2,299900
1236,3,199900
2609,4,499998
3031,4,599000
1767,3,252900
1888,2,255000
1604,3,242900
1962,4,259900
3890,3,573900
1100,3,249900
1458,3,464500
2526,3,469000
2200,3,475000
2637,3,299900
1839,2,349900
1000,1,169900
2040,4,314900
3137,3,579900
1811,4,285900
1437,3,249900
1239,3,229900
2132,4,345000
4215,4,549000
2162,4,287000
1664,2,368500
2238,3,329900
2567,4,314000
1200,3,299000
852,2,179900
1852,4,299900
1203,3,239500
72.23,6,32000
53.54,1,68000
19.96,2,33000
69.32,11,27000
117.6,12,24000
148.75,8,9000
69.23,8,65000
148.75,6,34000
64.44,20,34000
51.55,14,51000
88.16,6,36000
110.14,19,60000
112.21,3,34000
44.84,17,46000
83.04,2,40000
78.09,14,21000
118.38,4,52000
77.68,7,46000
77.68,34,65000
69.32,6,31000
148.75,14,43000
81.67,13,73000
76.68,3,33000
148.75,8,36000
64.44,2,35000
82.15,10,68000
69.7,11,40000
78.21,4,31000
69.32,4,32000
69.23,2,32000
105.82,12,35000
77.15,5,52000
69.23,8,31000
142.43,5,58000
64.28,6,33000
64.44,15,44000
64.44,2,33000
78.88,6,32000
46.73,2,32000
64.44,15,21000
64.44,4,32000
69.23,4,33000
69.7,11,33000
109.44,2,32000
64.28,7,44000
102.18,9,45000
81.67,2,34000
86.13,2,35000
112.21,27,69000
111.16,2,13000
112.21,30,70000
112.21,17,72000
112.21,26,15000
112.21,26,68000
33.05,14,65000
21.76,5,71000
108.77,8,42000
78.21,7,40000
69.7,6,23000
51.55,3,33000
51.55,15,31000
44.84,11,45000
105.34,11,21000
64.44,6,26000
126.75,24,43000
76.68,4,32000
126.75,11,37000
72.23,12,59000
112.21,5,69000
105.95,1,55000
82.15,11,32000
105.95,2,53000
64.28,1,21000
142.43,3,49000
66.93,14,50000
77.68,12,65000
136.07,7,63000
110.14,5,34000
69.32,9,37000
84.87,6,31000
72.23,5,33000
66.93,12,44000
86.81,10,32000
86.81,1,66000
46.73,6,39000
114.64,14,36000
69.32,1,35000
130.91,6,32000
84.87,2,72000
76.68,13,52000
110.14,6,32000
64.28,13,39000
104.74,3,50000
70.19,3,90000
84.87,6,31000
69.7,10,61000
107.78,16,48000
165.47,19,58000
110.14,8,39000
164.73,9,63000
118.18,1,50000
126.75,17,49000
111.81,5,37000
109.14,11,37000
77.68,10,69000
98.21,3,46000
81.38,12,27000
76.22,8,35000
69.23,5,59000
148.75,3,73000
86.13,13,31000
77.68,2,40000
112.21,34,46000
110.14,2,68000
69.7,3,31000
78.09,3,39000
111.16,32,70000
111.16,16,70000
112.21,16,69000
83.57,15,32000
77.68,4,32000
72.23,9,33000
82.15,3,36000
69.23,8,46000
69.81,16,30000
102.18,5,21000
142.43,15,46000
110.14,5,65000
77.68,5,60000
148.75,16,34000
46.73,4,21000
69.32,8,49000
110.14,17,60000
51.55,7,26000
66.93,3,60000
77.68,8,65000
77.68,18,58000
148.75,15,35000
105.95,13,67000
46.73,18,46000
86.81,3,46000
165.47,5,46000
112.21,6,70000
111.16,17,63000
78.88,10,40000
53.54,6,53000
98.21,6,37000
69.23,1,26000
51.55,2,32000
72.23,4,31000
69.23,15,24000
99.29,10,29000
111.81,10,51000
94.75,3,55000
51.43,2,60000
105.82,13,56000
51.43,14,34000
69.32,6,49000
77.68,5,25000
69.32,34,35000
53.54,9,35000
142.43,6,36000
114.64,4,68000
105.95,1,50000
148.75,6,60000
69.32,1,35000
99.96,10,23000
114.64,7,25000
81.67,4,73000
69.32,20,30000
99.96,5,60000
112.21,19,58000
130.19,6,35000
84.48,4,44000
77.68,19,58000
84.48,8,45000
69.23,1,46000
69.23,8,48000
117.6,8,51000
69.32,17,29000
110.14,14,33000
77.68,4,43000
110.14,3,68000
110.14,8,58000
110.14,15,55000
148.75,1,37000
77.68,19,69000
148.75,4,33000
83.04,7,35000
46.73,10,13000
77.68,14,52000
21.76,1,49000
77.15,5,55000
111.81,1,21000
77.68,3,50000
53.54,7,13000
21.76,10,26000
69.7,3,43000
78.09,13,31000
64.44,3,33000
46.57,3,23000
72.23,6,55000
105.4,8,32000
112.21,12,38000
69.32,29,39000
84.87,6,70000
66.93,6,22000
85.86,3,34000
69.32,3,50000
156.89,7,38000
69.32,3,105000
109.95,11,35000
77.15,1,31000
76.68,8,57000
69.32,3,42000
109.55,8,22000
84.21,12,45000
103.96,11,60000
53.54,1,31000
161.53,7,34000
107.93,6,37000
46.57,4,48000
148.75,5,35000
106.11,6,48000
69.23,2,33000
83.04,5,44000
69.23,11,68000
77.18,4,36000
51.55,9,50000
23.85,15,12000
77.68,6,28000
69.32,3,20000
69.32,5,22000
69.32,12,35000
102.18,7,35000
82.15,14,50000
79.72,5,52000
46.57,13,38000
46.73,4,32000
109.14,14,22000
44.84,20,21000
66.93,3,31000
84.21,7,35000
66.93,2,57000
77.68,14,44000
69.32,4,34000
69.23,15,47000
102.27,15,41000
44.84,4,35000
84.87,6,32000
69.32,5,32000
69.32,6,37000
99.29,1,21000
83.57,20,32000
110.14,4,25000
69.32,8,50000
69.32,15,32000
83.04,3,41000
77.68,20,58000
84.21,3,40000
85.63,3,43000
143.95,5,40000
85.86,4,27000
99.96,12,32000
81.38,6,53000
90.48,9,49000
83.04,5,70000
126.75,12,35000
106.11,2,48000
69.32,1,45000
69.32,14,28000
69.32,9,42000
51.55,14,45000
85.89,8,43000
66.93,10,21000
51.55,1,43000
44.84,2,33000
79.72,12,26000
83.04,10,30000
82.99,12,60000
77.68,13,31000
108.77,20,42000
23.61,20,15000
89,24,34000
97.54,10,51000
82.15,25,57000
108.77,27,42000
18.35,10,45000
109.6,19,9000
69.32,5,43000
109.77,16,40000
111.78,24,50000
111.81,2,47000
109.43,10,51000
108.77,7,48000
82.15,7,42000
109.77,12,37000
72.23,1,57000
51.43,15,20000
46.73,13,45000
139.2,6,24000
142.43,2,26000
106.11,12,58000
108.83,2,33000
109.14,4,55000
142.43,3,32000
46.73,5,62000
82.99,1,48000
69.32,12,57000
142.43,12,39000
77.18,6,49000
51.55,15,32000
64.44,13,49000
77.68,10,26000
84.87,6,37000
106.11,11,33000
66.93,15,21000
139.2,7,57000
69.32,12,45000
83.04,6,32000
108.83,4,32000
64.28,9,43000
145.97,13,33000
69.23,12,32000
69.23,4,55000
64.44,10,32000
69.7,3,49000
84.87,3,51000
77.68,13,38000
110.14,5,32000
64.28,3,56000
69.32,6,35000
109.14,12,60000
69.7,3,31000
24.79,27,13000
111.16,21,65000
69.32,5,33000
76.68,3,32000
82.15,9,32000
66.93,12,40000
69.7,7,37000
69.32,3,33000
105.52,10,31000
69.32,4,56000
85.86,4,50000
99.96,6,40000
83.04,2,42000
69.32,13,31000
80.38,14,37000
84.06,9,38000
64.28,6,23000
141.89,4,24000
109.14,16,60000
53.54,9,57000
51.43,15,36000
76.68,2,33000
69.32,5,36000
98.21,5,41000
39.9,6,27000
66.16,23,23000
105.95,8,58000
69.32,3,33000
83.04,3,33000
46.73,2,33000
82.99,2,42000
69.32,3,42000
64.44,2,20000
46.57,6,44000
109.44,7,22000
109.14,1,42000
69.32,1,35000
102.18,20,33000
108.77,3,32000
148.75,7,57000
105.34,7,42000
108.77,10,39000
86.13,15,68000
145.96,2,65000
66.93,17,90000
109.43,2,12000
46.73,4,62000
77.68,7,70000
110.14,8,39000
99.29,4,54000
84.87,7,48000
23.85,6,34000
148.75,2,47000
126.75,6,42000
108.77,1,22000
69.32,13,65000
148.75,4,30000
150.14,1,48000
84.06,1,42000
79.72,9,35000
126.75,12,70000
83.04,18,70000
148.75,12,45000
46.57,2,22000
69.32,1,46000
51.43,4,31000
66.93,9,23000
77.68,17,32000
105.95,17,63000
64.44,14,42000
98.95,3,34000
110.14,1,34000
99.29,4,43000
77.68,3,38000
114.64,2,51000
114.64,5,58000
109.43,2,58000
84.06,12,48000
110.14,1,42000
77.68,9,54000
106.11,10,33000
70.19,6,48000
105.82,19,50000
84.87,1,32000
64.28,13,40000
148.75,1,34000
111.81,5,32000
83.04,6,49000
103.9,3,69000
105.4,17,46000
77.68,3,44000
77.68,4,46000
72.23,5,50000
64.44,5,63000
66.93,19,32000
148.75,4,43000
64.44,5,32000
72.23,10,63000
142.86,19,90000
105.95,27,31000
77.68,17,46000
112.21,9,70000
69.32,10,32000
126.75,10,47000
46.57,12,61000
53.54,7,26000
64.44,1,70000
149.8,1,34000
143.95,4,70000
126.75,4,59000
110.87,3,51000
110.14,10,53000
53.54,2,20000
109.44,9,35000
69.32,14,68000
105.4,3,55000
69.32,1,22000
84.1,13,44000
46.73,3,26000
105.4,1,34000
112.21,25,73000
82.99,16,58000
105.95,4,44000
105.95,10,60000
69.81,8,30000
78.09,3,39000
82.99,19,45000
98.21,12,37000
98.21,7,48000
109.44,6,44000
142.43,1,45000
77.68,1,36000
108.77,8,42000
83.04,5,66000
70.19,15,32000
46.73,20,21000
84.48,14,53000
109.91,4,70000
77.65,2,53000
77.15,13,58000
64.44,15,20000
126.75,3,45000
148.75,15,48000
80.55,3,35000
46.73,9,21000
99.29,2,35000
46.73,5,53000
99.29,15,34000
85.89,12,32000
69.7,11,33000
114.64,11,58000
83.57,27,32000
99.96,3,70000
111.16,25,43000
72.23,6,33000
84.87,6,38000
84.87,3,31000
86.92,14,39000
97.01,3,40000
107.93,3,32000
77.68,2,44000
46.73,8,73000
46.57,15,35000
77.68,12,32000
46.73,2,32000
64.28,1,60000
114.84,6,20000
82.99,12,23000
69.7,6,35000
101.42,34,46000
66.93,19,35000
46.73,1,41000
101.36,7,21000
112.21,3,40000
99.29,2,50000
83.04,3,35000
90.58,5,44000
69.32,17,34000
69.32,1,48000
69.7,11,22000
83.04,5,45000
82.15,15,43000
64.28,7,33000
77.68,6,45000
83.04,11,37000
86.13,5,49000
107.93,1,53000
108.77,2,33000
98.21,6,37000
111.16,25,36000
80.38,13,69000
111.16,11,69000
112.21,22,70000
111.16,27,73000
84.48,23,35000
87.66,7,27000
85.63,3,37000
51.55,4,62000
150.14,6,30000
84.87,10,37000
98.21,6,40000
77.68,15,43000
148.75,3,65000
64.28,4,68000
132.65,5,32000
109.55,2,60000
109.14,1,56000
107.23,1,60000
84.87,1,35000
72.23,19,35000
84.87,8,48000
77.68,1,32000
105.82,11,49000
79.72,6,51000
148.75,9,38000
105.52,3,53000
94.75,15,53000
78.5,8,35000
105.34,26,45000
112.21,12,69000
108.77,24,61000
114.76,29,13000
105.95,22,42000
23.85,19,42000
87.66,2,30000
64.44,1,32000
118.18,3,37000
51.55,1,24000
84.87,2,52000
89,15,41000
77.68,3,50000
114.64,10,35000
142.86,19,49000
110.14,20,57000
105.4,12,48000
46.57,12,40000
109.14,7,48000
33.05,7,32000
64.44,2,65000
90.58,9,36000
80.38,5,55000
77.68,2,58000
110.66,6,22000
148.75,1,15000
77.68,8,57000
84.87,12,44000
105.82,12,35000
164.43,3,55000
69.32,14,32000
164.6,7,102000
66.93,1,98000
112.21,30,73000
105.95,14,42000
78.21,7,60000
105.95,13,58000
21.76,17,58000
142.43,5,13000
108.77,2,39000
51.55,11,26000
78.09,3,45000
107.93,9,45000
51.43,13,38000
149.8,4,48000
72.23,3,56000
139.2,8,55000
69.32,14,29000
110.14,14,50000
106.11,12,32000
110.66,9,70000
99.29,7,48000
84.87,1,24000
149.8,9,70000
106.11,19,31000
51.43,13,58000
139.2,3,50000
107.68,16,69000
165.47,13,46000
108,6,46000
66.93,12,34000
83.86,23,42000
83.04,4,34000
78.88,1,41000
112.21,34,73000
21.76,7,29000
69.23,1,13000
105.34,6,45000
77.68,2,45000
161.53,1,23000
69.32,3,70000
76.19,3,41000
66.93,10,30000
112.21,4,41000
72.23,6,45000
77.92,8,35000
89,1,34000
126.75,1,31000
83.86,34,49000
145.96,4,35000
78.5,9,90000
84.48,13,105000
69.23,5,35000
53.54,14,33000
64.44,8,29000
109.1,3,73000
77.68,3,35000
110.66,8,50000
114.84,7,25000
86.81,3,100000
80.55,1,45000
110.14,5,48000
53.54,13,35000
161.93,8,60000
76.19,3,98000
164.6,3,46000
148.75,4,41000
78.04,3,68000
85.89,9,49000
102.18,1,45000
143.95,11,16000
23.61,26,60000
69.32,18,34000
78.04,19,46000
53.54,10,26000
86.81,2,48000
110.66,9,55000
64.28,3,32000
105.82,7,44000
82.99,1,32000
53.54,2,53000
105.82,6,42000
51.55,2,26000
